0.264796913400922 + 0.0im	0.020135263706144 + 0.0im
0.020135263706144 + 0.0im	-0.264796913400922 + 0.0im

0.02240820739351 + 0.0im	0.020204328543699 + 0.0im
0.020204328543699 + 0.0im	-0.02240820739351 + 0.0im

0.045392109111791 + 0.0im	0.019375562390803 + 0.0im
0.019375562390803 + 0.0im	-0.045392109111791 + 0.0im

-0.05085527342071 + 0.0im	0.01966635503616 + 0.0im
0.01966635503616 + 0.0im	0.05085527342071 + 0.0im

-0.135907142486701 + 0.0im	0.021268361441386 + 0.0im
0.021268361441386 + 0.0im	0.135907142486701 + 0.0im

-0.070655636420619 + 0.0im	0.019245849073819 + 0.0im
0.019245849073819 + 0.0im	0.070655636420619 + 0.0im

-0.026746017573773 + 0.0im	0.020423341137893 + 0.0im
0.020423341137893 + 0.0im	0.026746017573773 + 0.0im

-0.012864277437327 + 0.0im	0.019790163294798 + 0.0im
0.019790163294798 + 0.0im	0.012864277437327 + 0.0im

-0.006604987619229 + 0.0im	0.019885622394546 + 0.0im
0.019885622394546 + 0.0im	0.006604987619229 + 0.0im

-0.003862564222648 + 0.0im	0.020347531372237 + 0.0im
0.020347531372237 + 0.0im	0.003862564222648 + 0.0im

-0.00181685907087 + 0.0im	0.019607805967541 + 0.0im
0.019607805967541 + 0.0im	0.00181685907087 + 0.0im

-0.001206797468261 + 0.0im	0.020326246484829 + 0.0im
0.020326246484829 + 0.0im	0.001206797468261 + 0.0im

-0.000447942228597 + 0.0im	0.019753260715182 + 0.0im
0.019753260715182 + 0.0im	0.000447942228597 + 0.0im

-0.000439177625601 + 0.0im	0.020169049339775 + 0.0im
0.020169049339775 + 0.0im	0.000439177625601 + 0.0im

-9.8287103212e-5 + 0.0im	0.019869988157357 + 0.0im
0.019869988157357 + 0.0im	9.8287103212e-5 + 0.0im

-0.000199214899649 + 0.0im	0.020070457185052 + 0.0im
0.020070457185052 + 0.0im	0.000199214899649 + 0.0im

-8.951831239e-6 + 0.0im	0.019933062374588 + 0.0im
0.019933062374588 + 0.0im	8.951831239e-6 + 0.0im

-0.000108366920455 + 0.0im	0.020013486531876 + 0.0im
0.020013486531876 + 0.0im	0.000108366920455 + 0.0im

1.3114572198e-5 + 0.0im	0.019966714254914 + 0.0im
0.019966714254914 + 0.0im	-1.3114572198e-5 + 0.0im

-6.7246302707e-5 + 0.0im	0.019984449353348 + 0.0im
0.019984449353348 + 0.0im	6.7246302707e-5 + 0.0im

1.688751168e-5 + 0.0im	0.019983679536408 + 0.0im
0.019983679536408 + 0.0im	-1.688751168e-5 + 0.0im

-4.5548975139e-5 + 0.0im	0.01997408071558 + 0.0im
0.01997408071558 + 0.0im	4.5548975139e-5 + 0.0im

1.5659682381e-5 + 0.0im	0.019991638214947 + 0.0im
0.019991638214947 + 0.0im	-1.5659682381e-5 + 0.0im

-3.2557484953e-5 + 0.0im	0.019974553375382 + 0.0im
0.019974553375382 + 0.0im	3.2557484953e-5 + 0.0im

1.328113033e-5 + 0.0im	0.019995189065578 + 0.0im
0.019995189065578 + 0.0im	-1.328113033e-5 + 0.0im

-2.4002539716e-5 + 0.0im	0.01997958082859 + 0.0im
0.01997958082859 + 0.0im	2.4002539716e-5 + 0.0im

1.0899253941e-5 + 0.0im	0.019996838800846 + 0.0im
0.019996838800846 + 0.0im	-1.0899253941e-5 + 0.0im

-1.8006916666e-5 + 0.0im	0.019985362227992 + 0.0im
0.019985362227992 + 0.0im	1.8006916666e-5 + 0.0im

8.832508996e-6 + 0.0im	0.01999776670324 + 0.0im
0.01999776670324 + 0.0im	-8.832508996e-6 + 0.0im

-1.365563137e-5 + 0.0im	0.019990231347976 + 0.0im
0.019990231347976 + 0.0im	1.365563137e-5 + 0.0im

7.132786903e-6 + 0.0im	0.019998400358224 + 0.0im
0.019998400358224 + 0.0im	-7.132786903e-6 + 0.0im

-1.0443128791e-5 + 0.0im	0.019993779831439 + 0.0im
0.019993779831439 + 0.0im	1.0443128791e-5 + 0.0im

5.77097237e-6 + 0.0im	0.01999887360899 + 0.0im
0.01999887360899 + 0.0im	-5.77097237e-6 + 0.0im

-8.055062752e-6 + 0.0im	0.01999616353966 + 0.0im
0.01999616353966 + 0.0im	8.055062752e-6 + 0.0im

4.697391721e-6 + 0.0im	0.019999228601742 + 0.0im
0.019999228601742 + 0.0im	-4.697391721e-6 + 0.0im

-6.276988243e-6 + 0.0im	0.019997686276837 + 0.0im
0.019997686276837 + 0.0im	6.276988243e-6 + 0.0im

3.860232111e-6 + 0.0im	0.019999485128853 + 0.0im
0.019999485128853 + 0.0im	-3.860232111e-6 + 0.0im

-4.953703129e-6 + 0.0im	0.019998626196383 + 0.0im
0.019998626196383 + 0.0im	4.953703129e-6 + 0.0im

3.21315429e-6 + 0.0im	0.019999663450008 + 0.0im
0.019999663450008 + 0.0im	-3.21315429e-6 + 0.0im

-3.970438973e-6 + 0.0im	0.019999192910567 + 0.0im
0.019999192910567 + 0.0im	3.970438973e-6 + 0.0im

2.716883177e-6 + 0.0im	0.019999783442097 + 0.0im
0.019999783442097 + 0.0im	-2.716883177e-6 + 0.0im

-3.24139239e-6 + 0.0im	0.019999529013678 + 0.0im
0.019999529013678 + 0.0im	3.24139239e-6 + 0.0im

2.3387403e-6 + 0.0im	0.01999986193282 + 0.0im
0.01999986193282 + 0.0im	-2.3387403e-6 + 0.0im

-2.702003343e-6 + 0.0im	0.019999725874953 + 0.0im
0.019999725874953 + 0.0im	2.702003343e-6 + 0.0im

2.052390485e-6 + 0.0im	0.019999912232035 + 0.0im
0.019999912232035 + 0.0im	-2.052390485e-6 + 0.0im

-2.303899468e-6 + 0.0im	0.019999840207704 + 0.0im
0.019999840207704 + 0.0im	2.303899468e-6 + 0.0im

1.836814313e-6 + 0.0im	0.019999944012298 + 0.0im
0.019999944012298 + 0.0im	-1.836814313e-6 + 0.0im

-2.01076437e-6 + 0.0im	0.019999906266907 + 0.0im
0.019999906266907 + 0.0im	2.01076437e-6 + 0.0im

1.67519631e-6 + 0.0im	0.019999963906492 + 0.0im
0.019999963906492 + 0.0im	-1.67519631e-6 + 0.0im

-1.79514884e-6 + 0.0im	0.019999944345795 + 0.0im
0.019999944345795 + 0.0im	1.79514884e-6 + 0.0im

1.554093199e-6 + 0.0im	0.019999976338922 + 0.0im
0.019999976338922 + 0.0im	-1.554093199e-6 + 0.0im

-1.636182338e-6 + 0.0im	0.019999966347613 + 0.0im
0.019999966347613 + 0.0im	1.636182338e-6 + 0.0im

1.46249118e-6 + 0.0im	0.019999984162252 + 0.0im
0.019999984162252 + 0.0im	-1.46249118e-6 + 0.0im

-1.517709945e-6 + 0.0im	0.019999979165803 + 0.0im
0.019999979165803 + 0.0im	1.517709945e-6 + 0.0im

1.391245243e-6 + 0.0im	0.019999989175022 + 0.0im
0.019999989175022 + 0.0im	-1.391245243e-6 + 0.0im

-1.427180868e-6 + 0.0im	0.019999986759551 + 0.0im
0.019999986759551 + 0.0im	1.427180868e-6 + 0.0im

1.333090535e-6 + 0.0im	0.019999992475791 + 0.0im
0.019999992475791 + 0.0im	-1.333090535e-6 + 0.0im

-1.355289441e-6 + 0.0im	0.019999991369832 + 0.0im
0.019999991369832 + 0.0im	1.355289441e-6 + 0.0im

1.283246779e-6 + 0.0im	0.019999994712656 + 0.0im
0.019999994712656 + 0.0im	-1.283246779e-6 + 0.0im

-1.296048645e-6 + 0.0im	0.019999994254059 + 0.0im
0.019999994254059 + 0.0im	1.296048645e-6 + 0.0im
