0.32320880350815956 + 0.0im	0.10090992558156825 + 0.0im
0.10090992558156825 + 0.0im	-0.32320880350815945 + 0.0im

0.041177667601427916 + 0.0im	0.10031634961680275 + 0.0im
0.10031634961680275 + 0.0im	-0.041177667601427985 + 0.0im

-0.0005066824097776854 + 0.0im	0.08728907143235823 + 0.0im
0.08728907143235823 + 0.0im	0.0005066824097776238 + 0.0im

0.031657589771534995 + 0.0im	0.10022196113093201 + 0.0im
0.10022196113093201 + 0.0im	-0.03165758977153506 + 0.0im

0.038020579975965696 + 0.0im	0.1370288875005739 + 0.0im
0.13702888750057385 + 0.0im	-0.03802057997596571 + 0.0im

-0.01434282926449347 + 0.0im	0.06051647538604908 + 0.0im
0.06051647538604907 + 0.0im	0.014342829264493345 + 0.0im

-0.04420637532100954 + 0.0im	-0.11741716654790312 + 0.0im
-0.11741716654790305 + 0.0im	0.044206375321009544 + 0.0im

-0.07373796660292872 + 0.0im	0.10449790249679472 + 0.0im
0.10449790249679472 + 0.0im	0.0737379666029288 + 0.0im

-0.020129169899428097 + 0.0im	0.06495268666467015 + 0.0im
0.0649526866646701 + 0.0im	0.020129169899428118 + 0.0im

-0.04132747553050705 + 0.0im	-0.13076720579320814 + 0.0im
-0.13076720579320808 + 0.0im	0.04132747553050711 + 0.0im

-0.008970286917254697 + 0.0im	-0.014290078840733812 + 0.0im
-0.014290078840733807 + 0.0im	0.008970286917254836 + 0.0im

-0.0001714271970894186 + 0.0im	-0.032762106736284796 + 0.0im
-0.0327621067362848 + 0.0im	0.00017142719708937047 + 0.0im

-0.026130392666626333 + 0.0im	-0.12322882855678025 + 0.0im
-0.12322882855678027 + 0.0im	0.026130392666626437 + 0.0im

0.007667736376371491 + 0.0im	-0.0717337198174153 + 0.0im
-0.0717337198174153 + 0.0im	-0.007667736376371477 + 0.0im

-0.022162695892438574 + 0.0im	0.09725584163325053 + 0.0im
0.09725584163325054 + 0.0im	0.022162695892438578 + 0.0im

-0.09580410438079867 + 0.0im	0.04136571373978294 + 0.0im
0.04136571373978297 + 0.0im	0.0958041043807986 + 0.0im

0.08086830716362448 + 0.0im	-0.029735933004193672 + 0.0im
-0.02973593300419367 + 0.0im	-0.08086830716362445 + 0.0im

-0.10007962630255296 + 0.0im	-0.03763232058219204 + 0.0im
-0.03763232058219204 + 0.0im	0.1000796263025531 + 0.0im

-0.0642599659446406 + 0.0im	0.055973478969479074 + 0.0im
0.05597347896947906 + 0.0im	0.0642599659446411 + 0.0im

0.0567393039540602 + 0.0im	-0.05458236751406754 + 0.0im
-0.05458236751406754 + 0.0im	-0.05673930395406074 + 0.0im

-0.08346479720642995 + 0.0im	-0.0622466716084316 + 0.0im
-0.06224667160843157 + 0.0im	0.08346479720643014 + 0.0im

0.016834722388208927 + 0.0im	-0.034519158710002606 + 0.0im
-0.034519158710002606 + 0.0im	-0.016834722388193196 + 0.0im

-0.018479622434256066 + 0.0im	0.03199931627374644 + 0.0im
0.03199931627374643 + 0.0im	0.018479622434240218 + 0.0im

-0.02380298698112803 + 0.0im	-0.0989892643903687 + 0.0im
-0.09898926439036868 + 0.0im	0.023802986981128392 + 0.0im

0.020652584574313362 + 0.0im	-0.0746021626588394 + 0.0im
-0.0746021626588394 + 0.0im	-0.02065258457428988 + 0.0im

-0.02077480646186582 + 0.0im	0.07579235682064717 + 0.0im
0.07579235682064717 + 0.0im	0.020774806461841964 + 0.0im

0.004369558775564643 + 0.0im	0.10055614351184108 + 0.0im
0.10055614351184108 + 0.0im	-0.004369558775564712 + 0.0im

-0.0044581187931688054 + 0.0im	0.09891334481487844 + 0.0im
0.0989133448148784 + 0.0im	0.004458118793170304 + 0.0im

0.0044383409421932946 + 0.0im	-0.09948487759965974 + 0.0im
-0.09948487759965977 + 0.0im	-0.0044383409421950085 + 0.0im

-0.009058090443542444 + 0.0im	-0.09877434006311392 + 0.0im
-0.09877434006311392 + 0.0im	0.009058090443554448 + 0.0im

0.009046586843120971 + 0.0im	0.09846147162194296 + 0.0im
0.09846147162194294 + 0.0im	-0.009046586843132531 + 0.0im

-0.009140018419313438 + 0.0im	0.09975963488432324 + 0.0im
0.09975963488432324 + 0.0im	0.00914001841931484 + 0.0im

-0.04908497005046561 + 0.0im	0.05829405215713558 + 0.0im
0.05829405215713558 + 0.0im	0.049084970053603516 + 0.0im

0.04904198115226118 + 0.0im	-0.05817763738759407 + 0.0im
-0.05817763738759407 + 0.0im	-0.04904198115538996 + 0.0im

-0.05777627985500937 + 0.0im	-0.08171306887831162 + 0.0im
-0.08171306887831163 + 0.0im	0.057776279856717294 + 0.0im
