0.3175108839662276 + 0.0im	-1.0087844764443497e-17 - 0.0im
0.0 + 0.0im	-0.31751088396622756 + 0.0im

-0.47304071763148725 + 0.0im	-2.2770733781478153e-17 + 0.0im
0.0 + 0.0im	0.47304071763148753 + 0.0im

0.5316033347160085 + 0.0im	-1.5186241953085537e-17 + 0.0im
0.0 + 0.0im	-0.5316033347160082 + 0.0im

-0.5692490097986231 + 0.0im	-3.7745789906734e-17 + 0.0im
0.0 + 0.0im	0.569249009798623 + 0.0im

0.45699090864960384 + 0.0im	1.2321788283708307e-17 + 0.0im
0.0 + 0.0im	-0.4569909086496043 + 0.0im

-0.2905375668640972 + 0.0im	-3.072214969470949e-17 + 0.0im
0.0 + 0.0im	0.2905375668640973 + 0.0im

-0.21517717148555465 + 0.0im	4.41780621552321e-17 + 0.0im
0.0 + 0.0im	-0.21517717148555443 + 0.0im

0.13704999054612016 + 0.0im	1.3971173190249243e-17 + 0.0im
0.0 + 0.0im	0.13704999054612022 + 0.0im

0.12286221055370979 + 0.0im	4.070268597264771e-17 + 0.0im
0.0 + 0.0im	-0.12286221055370987 + 0.0im

-0.10847442753143594 + 0.0im	3.0464386980948166e-17 + 0.0im
0.0 + 0.0im	-0.10847442753143596 + 0.0im

0.04423786984037529 + 0.0im	-2.273838771080488e-17 + 0.0im
0.0 + 0.0im	0.04423786984037528 + 0.0im

-0.1302982709335964 + 0.0im	1.8406025943835946e-17 + 0.0im
0.0 + 0.0im	-0.13029827093359653 + 0.0im

0.029132778058982164 + 0.0im	1.696268180171462e-17 + 0.0im
0.0 + 0.0im	0.029132778058982164 + 0.0im

0.036476333221737815 + 0.0im	3.912334010293286e-17 + 0.0im
0.0 + 0.0im	-0.03647633322173791 + 0.0im

-0.07834376388406716 + 0.0im	3.4592825565865626e-18 + 0.0im
0.0 + 0.0im	-0.07834376388406715 + 0.0im

0.011081950416928383 + 0.0im	-1.644090950620597e-17 + 0.0im
0.0 + 0.0im	0.011081950416928403 + 0.0im

0.03803589076372111 + 0.0im	7.34885785037831e-17 + 0.0im
0.0 + 0.0im	-0.03803589076372113 + 0.0im

-0.03336065160061254 + 0.0im	1.5899253112260526e-16 + 0.0im
0.0 + 0.0im	-0.03336065160061241 + 0.0im

0.004754909133557695 + 0.0im	-1.0747073566632574e-15 + 0.0im
0.0 + 0.0im	0.004754909133557821 + 0.0im

-0.048901080403197454 + 0.0im	1.837487630720067e-15 + 0.0im
0.0 + 0.0im	-0.048901080403197676 + 0.0im

0.010664263217859531 + 0.0im	-2.3442733722929456e-15 + 0.0im
0.0 + 0.0im	-0.010664263217860256 + 0.0im

0.002086625695174676 + 0.0im	1.1218965997701548e-14 + 0.0im
0.0 + 0.0im	0.0020866256951914347 + 0.0im

-0.08264093146156425 + 0.0im	-4.8245692244866176e-15 + 0.0im
0.0 + 0.0im	-0.08264093146158125 + 0.0im

0.002334617467812199 + 0.0im	8.627524599751535e-15 + 0.0im
0.0 + 0.0im	0.00233461746782567 + 0.0im

0.001486409435806523 + 0.0im	1.4699591878734788e-14 + 0.0im
0.0 + 0.0im	-0.001486409435955629 + 0.0im

-0.08359170425240885 + 0.0im	7.0240349452598e-14 + 0.0im
0.0 + 0.0im	-0.08359170425260233 + 0.0im

0.0005139613397438272 + 0.0im	-1.7537207944452976e-14 + 0.0im
0.0 + 0.0im	0.0005139613399288921 + 0.0im

0.002708344265107597 + 0.0im	2.109600670794655e-15 + 0.0im
0.0 + 0.0im	-0.002708344265178286 + 0.0im

-0.020921149116282647 + 0.0im	-2.6895328954397446e-14 + 0.0im
0.0 + 0.0im	-0.020921149116333054 + 0.0im

0.00018152767307589405 + 0.0im	-1.2591151325440516e-14 + 0.0im
0.0 + 0.0im	0.00018152767250907348 + 0.0im

-0.008679838852626527 + 0.0im	2.632894013859875e-12 + 0.0im
0.0 + 0.0im	-0.00867983884532869 + 0.0im

0.002622563184165591 + 0.0im	-2.8200177788631833e-13 + 0.0im
0.0 + 0.0im	-0.002622563171447638 + 0.0im

7.607334930960823e-5 + 0.0im	1.5338633421936064e-10 + 0.0im
0.0 + 0.0im	7.607292664555479e-5 + 0.0im

-0.03972830258839751 + 0.0im	-1.9777457634513303e-10 + 0.0im
0.0 + 0.0im	-0.03972830239504249 + 0.0im

0.00022332418575299884 + 0.0im	9.741047097904746e-11 + 0.0im
0.0 + 0.0im	-0.00022332391830810213 + 0.0im
