0.3175108839663117 + 0.0im	2.1892519433853053e-17 - 0.0im
0.0 + 0.0im	-0.3175108839663119 + 0.0im

-0.47448518359059966 + 0.0im	1.3407419824292303e-17 + 0.0im
0.0 + 0.0im	0.474485183590599 + 0.0im

0.5335304278661774 + 0.0im	-4.00161657688981e-17 + 0.0im
0.0 + 0.0im	-0.5335304278661775 + 0.0im

-0.5635493078760361 + 0.0im	1.9811769764033064e-18 + 0.0im
0.0 + 0.0im	0.5635493078760366 + 0.0im

0.4469479376241746 + 0.0im	-1.703679718459937e-17 + 0.0im
0.0 + 0.0im	-0.44694793762417434 + 0.0im

-0.28489467864698814 + 0.0im	4.65038558097148e-17 + 0.0im
0.0 + 0.0im	0.2848946786469881 + 0.0im

-0.21315420095187446 + 0.0im	-2.868900592350315e-17 + 0.0im
0.0 + 0.0im	-0.21315420095187457 + 0.0im

0.13584342808173092 + 0.0im	-2.5010765350051353e-17 + 0.0im
0.0 + 0.0im	0.13584342808173092 + 0.0im

0.12135076884728081 + 0.0im	1.478601888550788e-17 + 0.0im
0.0 + 0.0im	-0.12135076884728083 + 0.0im

-0.10867479655720601 + 0.0im	-1.782453782554587e-17 + 0.0im
0.0 + 0.0im	-0.10867479655720598 + 0.0im

0.043546950950604776 + 0.0im	-1.613004841456364e-17 + 0.0im
0.0 + 0.0im	0.04354695095060477 + 0.0im

-0.12984506600605203 + 0.0im	9.73410262984642e-18 + 0.0im
0.0 + 0.0im	-0.12984506600605197 + 0.0im

0.0292682249531407 + 0.0im	2.4120110206013456e-17 + 0.0im
0.0 + 0.0im	0.02926822495314068 + 0.0im

0.0353678403890124 + 0.0im	-3.167739110097553e-17 + 0.0im
0.0 + 0.0im	-0.035367840389012396 + 0.0im

-0.0798507385567371 + 0.0im	5.828857226530468e-17 + 0.0im
0.0 + 0.0im	-0.07985073855673713 + 0.0im

0.011049910955326033 + 0.0im	-4.599028914588268e-17 + 0.0im
0.0 + 0.0im	0.011049910955326099 + 0.0im

0.036488375937376 + 0.0im	-1.2726415922611686e-16 + 0.0im
0.0 + 0.0im	-0.03648837593737593 + 0.0im

-0.03454184617539737 + 0.0im	-8.677174918262504e-17 + 0.0im
0.0 + 0.0im	-0.034541846175397545 + 0.0im

0.004710809859839624 + 0.0im	3.810784289038152e-16 + 0.0im
0.0 + 0.0im	0.004710809859839555 + 0.0im

-0.04669092494014062 + 0.0im	1.998066019278169e-16 + 0.0im
0.0 + 0.0im	-0.046690924940140016 + 0.0im

0.011131800725880337 + 0.0im	3.5629975058131154e-16 + 0.0im
0.0 + 0.0im	-0.011131800725880435 + 0.0im

0.0020427498875451103 + 0.0im	-7.168772293044941e-16 + 0.0im
0.0 + 0.0im	0.0020427498875440543 + 0.0im

-0.07996885887472399 + 0.0im	1.1171974939128484e-15 + 0.0im
0.0 + 0.0im	-0.07996885887472338 + 0.0im

0.00243073093638005 + 0.0im	2.1752589590966643e-16 + 0.0im
0.0 + 0.0im	0.002430730936380325 + 0.0im

0.0014001102139589846 + 0.0im	3.0801836436804807e-15 + 0.0im
0.0 + 0.0im	-0.0014001102139904735 + 0.0im

-0.08665711556742989 + 0.0im	1.8765425411487735e-14 + 0.0im
0.0 + 0.0im	-0.08665711556747896 + 0.0im

0.0005189481094535524 + 0.0im	-6.910352916991258e-15 + 0.0im
0.0 + 0.0im	0.0005189481095261428 + 0.0im

0.0024922460134629344 + 0.0im	-1.746444855543766e-14 + 0.0im
0.0 + 0.0im	-0.002492246014310028 + 0.0im

-0.022552906015865026 + 0.0im	-1.326679854841105e-13 + 0.0im
0.0 + 0.0im	-0.02255290601727149 + 0.0im

0.00018036880455886534 + 0.0im	1.2233415652843283e-13 + 0.0im
0.0 + 0.0im	0.00018036881016109184 + 0.0im

-0.007924743442975137 + 0.0im	-2.0434178857156626e-12 + 0.0im
0.0 + 0.0im	-0.007924743449084146 + 0.0im

0.0028522995084564414 + 0.0im	2.476376122526958e-13 + 0.0im
0.0 + 0.0im	-0.002852299518003896 + 0.0im

7.522742533319961e-5 + 0.0im	-8.587719747850085e-11 + 0.0im
0.0 + 0.0im	7.522766238423942e-5 + 0.0im

-0.036294356055615644 + 0.0im	2.9236215770382656e-11 + 0.0im
0.0 + 0.0im	-0.03629435610427255 + 0.0im

0.00024366333989490785 + 0.0im	1.1737269269774717e-12 + 0.0im
0.0 + 0.0im	-0.00024366333634697108 + 0.0im
