8.326672684688674e-17 + 0.0im	0.1009977120435318 + 0.0im
0.1009977120435318 + 0.0im	8.326672684688674e-17 + 0.0im

-2.0816681711721685e-17 + 0.0im	0.0792634431775728 + 0.0im
0.0792634431775728 + 0.0im	-2.7755575615628914e-17 + 0.0im

-1.3877787807814457e-17 + 0.0im	0.13818553156651986 + 0.0im
0.1381855315665199 + 0.0im	9.71445146547012e-17 + 0.0im

1.3877787807814457e-17 + 0.0im	0.16563480680417336 + 0.0im
0.16563480680417336 + 0.0im	4.163336342344337e-17 + 0.0im

-4.163336342344337e-17 + 0.0im	-0.054619755872230905 + 0.0im
-0.054619755872230905 + 0.0im	-6.938893903907228e-17 + 0.0im

1.1102230246251565e-16 + 0.0im	-0.2212745755975915 + 0.0im
-0.2212745755975915 + 0.0im	1.249000902703301e-16 + 0.0im

-2.7755575615628914e-17 + 0.0im	-0.0958666437784021 + 0.0im
-0.0958666437784021 + 0.0im	0.0 + 0.0im

8.500145032286355e-17 + 0.0im	-0.07718464907769915 + 0.0im
-0.07718464907769915 + 0.0im	9.8879238130678e-17 + 0.0im

4.163336342344337e-17 + 0.0im	-0.1776379371212849 + 0.0im
-0.1776379371212849 + 0.0im	1.3877787807814457e-17 + 0.0im

1.249000902703301e-16 + 0.0im	-0.025970041070989214 + 0.0im
-0.025970041070989207 + 0.0im	-4.85722573273506e-17 + 0.0im

-1.3877787807814457e-17 + 0.0im	0.12163905310549115 + 0.0im
0.12163905310549115 + 0.0im	1.3877787807814457e-17 + 0.0im

3.469446951953614e-16 + 0.0im	0.11445339808666705 + 0.0im
0.11445339808666705 + 0.0im	-3.469446951953614e-16 + 0.0im

-2.5673907444456745e-16 + 0.0im	-0.05609892552858925 + 0.0im
-0.05609892552858925 + 0.0im	2.740863092043355e-16 + 0.0im

4.649058915617843e-16 + 0.0im	-0.12439301970926239 + 0.0im
-0.12439301970926239 + 0.0im	-3.885780586188048e-16 + 0.0im

4.787836793695988e-16 + 0.0im	-0.063054802140663 + 0.0im
-0.06305480214066303 + 0.0im	-2.3592239273284576e-16 + 0.0im

-3.452099717193846e-16 + 0.0im	0.039528002646225316 + 0.0im
0.03952800264622531 + 0.0im	1.43982048506075e-16 + 0.0im

4.649058915617843e-16 + 0.0im	0.11397954569094963 + 0.0im
0.11397954569094963 + 0.0im	-5.204170427930421e-16 + 0.0im

2.213507155346406e-15 + 0.0im	-0.0013698911019522052 + 0.0im
-0.0013698911019522078 + 0.0im	-2.4980018054066022e-15 + 0.0im

-1.7876325419940997e-15 + 0.0im	0.011462156445669279 + 0.0im
0.011462156445669277 + 0.0im	2.007075061705166e-15 + 0.0im

1.3683498778505054e-14 + 0.0im	0.10631766748269461 + 0.0im
0.1063176674826946 + 0.0im	-1.3697376566312869e-14 + 0.0im

3.588102037710428e-14 + 0.0im	0.07030085024748624 + 0.0im
0.07030085024748625 + 0.0im	-3.6866343311459104e-14 + 0.0im

-2.9129476608602545e-14 + 0.0im	-0.07470383875252203 + 0.0im
-0.07470383875252203 + 0.0im	3.016337180028472e-14 + 0.0im

4.204483983194507e-13 + 0.0im	-0.10238931334834041 + 0.0im
-0.1023893133483404 + 0.0im	-4.2051084836458585e-13 + 0.0im

-3.062342046611377e-13 + 0.0im	-0.09642471364040656 + 0.0im
-0.09642471364040653 + 0.0im	3.0581093213299937e-13 + 0.0im

3.604755383079805e-13 + 0.0im	0.09853291634205233 + 0.0im
0.09853291634205233 + 0.0im	-3.599620601590914e-13 + 0.0im

5.487305054785452e-12 + 0.0im	0.09972662932967472 + 0.0im
0.09972662932967476 + 0.0im	-5.485938092686382e-12 + 0.0im

-5.749296871915277e-12 + 0.0im	-0.09846562395679823 + 0.0im
-0.09846562395679823 + 0.0im	5.748054809906478e-12 + 0.0im

3.820936622656035e-12 + 0.0im	-0.10057380320481668 + 0.0im
-0.10057380320481663 + 0.0im	-3.8211100950036325e-12 + 0.0im

-8.181562302644885e-10 + 0.0im	-0.08862650792099461 + 0.0im
-0.08862650792099461 + 0.0im	8.181551963692968e-10 + 0.0im

8.131755477314151e-10 + 0.0im	0.08817231100417883 + 0.0im
0.08817231100417885 + 0.0im	-8.131745207751173e-10 + 0.0im

-1.2022167081293667e-9 + 0.0im	0.10028397054187183 + 0.0im
0.10028397054187185 + 0.0im	1.2022167428238362e-9 + 0.0im

-1.178773977317249e-7 + 0.0im	-0.015539003934203929 + 0.0im
-0.015539003934203943 + 0.0im	1.178763187753562e-7 + 0.0im

1.1760632780914021e-7 + 0.0im	0.015719763107886957 + 0.0im
0.01571976310788696 + 0.0im	-1.1760524887423872e-7 + 0.0im

-3.2437749682839856e-7 + 0.0im	0.1001134940858858 + 0.0im
0.10011349408588582 + 0.0im	3.2437749673819294e-7 + 0.0im

-7.502087520441791e-7 + 0.0im	0.0974010815313437 + 0.0im
0.09740108153134372 + 0.0im	7.50208650417139e-7 + 0.0im
