0.0 + 0.0im	0.09958868447526517 + 0.0im
0.09958868447526519 + 0.0im	8.326672684688674e-17 + 0.0im

1.3877787807814457e-17 + 0.0im	-0.12167843822996681 + 0.0im
-0.12167843822996674 + 0.0im	2.0816681711721685e-17 + 0.0im

-5.551115123125783e-17 + 0.0im	0.0244434103551534 + 0.0im
0.024443410355153385 + 0.0im	-4.163336342344337e-17 + 0.0im

6.938893903907228e-17 + 0.0im	-0.20345736430828643 + 0.0im
-0.20345736430828643 + 0.0im	1.5265566588595902e-16 + 0.0im

4.163336342344337e-17 + 0.0im	-0.04988180183403793 + 0.0im
-0.04988180183403794 + 0.0im	5.551115123125783e-17 + 0.0im

-9.020562075079397e-17 + 0.0im	-0.13833428119942115 + 0.0im
-0.13833428119942115 + 0.0im	-3.469446951953614e-17 + 0.0im

-2.7755575615628914e-17 + 0.0im	-0.15005110308771458 + 0.0im
-0.15005110308771458 + 0.0im	5.551115123125783e-17 + 0.0im

-7.632783294297951e-17 + 0.0im	-0.006498717052566186 + 0.0im
-0.006498717052566194 + 0.0im	1.3877787807814457e-17 + 0.0im

-1.942890293094024e-16 + 0.0im	0.16323446635541294 + 0.0im
0.16323446635541294 + 0.0im	1.5265566588595902e-16 + 0.0im

-4.163336342344337e-16 + 0.0im	0.03835216106756505 + 0.0im
0.03835216106756505 + 0.0im	4.163336342344337e-16 + 0.0im

1.9992688060632702e-16 + 0.0im	0.025244797691020227 + 0.0im
0.025244797691020227 + 0.0im	-1.444157293750692e-16 + 0.0im

-1.1934897514720433e-15 + 0.0im	0.13518615322219318 + 0.0im
0.13518615322219318 + 0.0im	1.124100812432971e-15 + 0.0im

-1.457167719820518e-16 + 0.0im	0.04329300542760867 + 0.0im
0.04329300542760868 + 0.0im	1.0408340855860843e-16 + 0.0im

-4.198030811863873e-16 + 0.0im	-0.07342660566029927 + 0.0im
-0.07342660566029927 + 0.0im	3.920475055707584e-16 + 0.0im

-3.1710745140856034e-15 + 0.0im	-0.11421527153599492 + 0.0im
-0.11421527153599491 + 0.0im	3.2057689836051395e-15 + 0.0im

3.1780134079895106e-15 + 0.0im	-0.08392770833889582 + 0.0im
-0.08392770833889582 + 0.0im	-3.2335245592207684e-15 + 0.0im

-2.706168622523819e-15 + 0.0im	0.09984842160640843 + 0.0im
0.09984842160640844 + 0.0im	2.6575963651964685e-15 + 0.0im

2.458450110154331e-14 + 0.0im	0.10128094079504475 + 0.0im
0.10128094079504477 + 0.0im	-2.4799606812564434e-14 + 0.0im

-2.0247692411601292e-14 + 0.0im	-0.0918771486331735 + 0.0im
-0.09187714863317353 + 0.0im	2.0414225865295066e-14 + 0.0im

3.733124920302089e-14 + 0.0im	-0.10374747191703095 + 0.0im
-0.10374747191703095 + 0.0im	-3.725492137007791e-14 + 0.0im

7.707862126338227e-13 + 0.0im	-0.08464309250961716 + 0.0im
-0.08464309250961716 + 0.0im	-7.693221060200983e-13 + 0.0im

-7.451261829771738e-13 + 0.0im	0.08119986363759932 + 0.0im
0.08119986363759932 + 0.0im	7.43766159772008e-13 + 0.0im

1.017290418570127e-12 + 0.0im	0.1020839494990314 + 0.0im
0.1020839494990314 + 0.0im	-1.0172765407823192e-12 + 0.0im

1.0810637107727672e-11 + 0.0im	0.023951218635875092 + 0.0im
0.0239512186358751 + 0.0im	-1.081960215865152e-11 + 0.0im

-1.0677051690693995e-11 + 0.0im	-0.02256647842038212 + 0.0im
-0.022566478420382126 + 0.0im	1.0686063579151694e-11 + 0.0im

1.8456312866899083e-11 + 0.0im	0.10087695411519759 + 0.0im
0.10087695411519756 + 0.0im	-1.8456298989111275e-11 + 0.0im

-2.747090749322112e-11 + 0.0im	0.0793534570894047 + 0.0im
0.07935345708940467 + 0.0im	2.747149729920295e-11 + 0.0im

2.7074432973339668e-11 + 0.0im	-0.07991718350731543 + 0.0im
-0.07991718350731539 + 0.0im	-2.7075015840427596e-11 + 0.0im

-3.132893736101927e-10 + 0.0im	-0.10032647214411139 + 0.0im
-0.10032647214411139 + 0.0im	3.132893736101927e-10 + 0.0im

-1.5356397403687438e-10 + 0.0im	-0.09929191264938933 + 0.0im
-0.09929191264938932 + 0.0im	1.5356369648111823e-10 + 0.0im

-4.724207136597158e-12 + 0.0im	0.09954456415292151 + 0.0im
0.09954456415292147 + 0.0im	4.7245610201862576e-12 + 0.0im

-1.54196792313821e-7 + 0.0im	0.09975465880508594 + 0.0im
0.09975465880508591 + 0.0im	1.5419680116784962e-7 + 0.0im

1.5301518659083246e-7 + 0.0im	-0.09960498238495266 + 0.0im
-0.09960498238495269 + 0.0im	-1.5301519579874467e-7 + 0.0im

-1.6536600510458355e-7 + 0.0im	-0.10008139777698455 + 0.0im
-0.10008139777698458 + 0.0im	1.653660043482441e-7 + 0.0im

-2.6700606454953257e-5 + 0.0im	-0.08745124568836779 + 0.0im
-0.08745124568836776 + 0.0im	2.6700461850361068e-5 + 0.0im
