0.3175108839664971 + 0.0im	-5.2160288891919815e-18 - 0.0im
0.0 + 0.0im	-0.31751088396649724 + 0.0im

-0.5804810328308657 + 0.0im	3.283893796945719e-17 + 0.0im
0.0 + 0.0im	0.5804810328308655 + 0.0im

0.557195881730554 + 0.0im	3.7281943415161216e-17 + 0.0im
0.0 + 0.0im	-0.557195881730554 + 0.0im

-0.55295842198093 + 0.0im	-2.8279253735268885e-17 + 0.0im
0.0 + 0.0im	0.5529584219809299 + 0.0im

0.45572505071299974 + 0.0im	-8.477317494357851e-18 + 0.0im
0.0 + 0.0im	-0.4557250507129998 + 0.0im

-0.3467032614235503 + 0.0im	5.2278238229824976e-17 + 0.0im
0.0 + 0.0im	-0.3467032614235501 + 0.0im

0.19176981316284664 + 0.0im	-1.4950555035512028e-17 + 0.0im
0.0 + 0.0im	0.19176981316284672 + 0.0im

-0.2315225878998425 + 0.0im	-7.597885536871074e-18 + 0.0im
0.0 + 0.0im	-0.23152258789984248 + 0.0im

0.10384214457463217 + 0.0im	1.1180834903756764e-19 + 0.0im
0.0 + 0.0im	0.10384214457463212 + 0.0im

0.10748816905272093 + 0.0im	4.727057944565755e-17 + 0.0im
0.0 + 0.0im	-0.10748816905272095 + 0.0im

-0.12164560107214495 + 0.0im	-3.3790261848342176e-17 + 0.0im
0.0 + 0.0im	-0.12164560107214499 + 0.0im

0.03779154809979427 + 0.0im	5.97708799229997e-18 + 0.0im
0.0 + 0.0im	0.037791548099794285 + 0.0im

-0.09309253080633503 + 0.0im	-5.988115302482037e-17 + 0.0im
0.0 + 0.0im	-0.09309253080633507 + 0.0im

0.05090522959132982 + 0.0im	-3.792251208152228e-17 + 0.0im
0.0 + 0.0im	-0.05090522959132986 + 0.0im

0.01679964871348628 + 0.0im	1.0961029853944274e-17 + 0.0im
0.0 + 0.0im	0.01679964871348644 + 0.0im

-0.09991935545224426 + 0.0im	-1.0769939221043703e-16 + 0.0im
0.0 + 0.0im	-0.09991935545224442 + 0.0im

0.017652082284600273 + 0.0im	-1.655229433876991e-17 + 0.0im
0.0 + 0.0im	-0.017652082284600516 + 0.0im

0.009069988170952503 + 0.0im	1.5209111842661403e-17 + 0.0im
0.0 + 0.0im	0.009069988170953443 + 0.0im

-0.10507515719169497 + 0.0im	2.423530668684004e-17 + 0.0im
0.0 + 0.0im	-0.10507515719169622 + 0.0im

0.005539350874626991 + 0.0im	-7.579674328505107e-18 + 0.0im
0.0 + 0.0im	0.0055393508746281375 + 0.0im

0.00695996926920634 + 0.0im	1.2964283950024375e-16 + 0.0im
0.0 + 0.0im	-0.006959969269210264 + 0.0im

-0.07192211550821101 + 0.0im	-1.0016062957328431e-15 + 0.0im
0.0 + 0.0im	-0.07192211550821725 + 0.0im

0.0018454276937217426 + 0.0im	2.219649838279894e-18 + 0.0im
0.0 + 0.0im	0.0018454276937306337 + 0.0im

0.008668520684885762 + 0.0im	-5.596848549530411e-16 + 0.0im
0.0 + 0.0im	-0.008668520684911389 + 0.0im

-0.025347339085912364 + 0.0im	1.7002865044732363e-15 + 0.0im
0.0 + 0.0im	-0.02534733908595642 + 0.0im

0.0007086551727345466 + 0.0im	-1.1034721720355398e-18 + 0.0im
0.0 + 0.0im	0.000708655172921163 + 0.0im

-0.016724254713361312 + 0.0im	8.118912655144376e-15 + 0.0im
0.0 + 0.0im	-0.01672425471362575 + 0.0im

0.005335816714674936 + 0.0im	2.6853621052074644e-15 + 0.0im
0.0 + 0.0im	-0.005335816715084359 + 0.0im

0.00029170606897013313 + 0.0im	1.2769021679858578e-19 + 0.0im
0.0 + 0.0im	0.0002917060756096574 + 0.0im

-0.047232398366109256 + 0.0im	1.9751317551983116e-15 + 0.0im
0.0 + 0.0im	-0.04723239836987423 + 0.0im

0.0007369125787824531 + 0.0im	4.443661896238148e-17 + 0.0im
0.0 + 0.0im	-0.0007369125818055831 + 0.0im

0.00017424903698138846 + 0.0im	9.151230671478766e-16 + 0.0im
0.0 + 0.0im	0.00017424917825323947 + 0.0im

-0.09886296602103896 + 0.0im	1.708296048022473e-13 + 0.0im
0.0 + 0.0im	-0.09886296619310964 + 0.0im

9.397278276362935e-5 + 0.0im	-6.237694619181701e-16 + 0.0im
0.0 + 0.0im	9.397288843926224e-5 + 0.0im

0.00039560838107972885 + 0.0im	1.793122691920847e-14 + 0.0im
0.0 + 0.0im	-0.00039560835472738894 + 0.0im
