0.31751088396492555 + 0.0im	2.9279811404213027e-18 - 0.0im
0.0 + 0.0im	-0.3175108839649255 + 0.0im

-0.5472013256077105 + 0.0im	8.323528074871992e-17 + 0.0im
0.0 + 0.0im	-0.5472013256077106 + 0.0im

0.44214258120365296 + 0.0im	3.440753710865375e-17 + 0.0im
0.0 + 0.0im	0.442142581203653 + 0.0im

-0.4843368933462782 + 0.0im	1.4904603498123482e-17 + 0.0im
0.0 + 0.0im	-0.4843368933462781 + 0.0im

0.6252770989733931 + 0.0im	1.1438904666961468e-16 + 0.0im
0.0 + 0.0im	0.6252770989733929 + 0.0im

-0.5376949162230211 + 0.0im	-5.288323151240136e-17 + 0.0im
0.0 + 0.0im	-0.5376949162230217 + 0.0im

0.3188394274748682 + 0.0im	-1.4142612658773514e-16 + 0.0im
0.0 + 0.0im	0.31883942747486804 + 0.0im

-0.26570125843175657 + 0.0im	1.645806192338787e-17 + 0.0im
0.0 + 0.0im	-0.2657012584317567 + 0.0im

0.11683160741429678 + 0.0im	-1.1919447633762514e-17 + 0.0im
0.0 + 0.0im	0.11683160741429677 + 0.0im

0.14746597494587932 + 0.0im	4.596752513542522e-17 + 0.0im
0.0 + 0.0im	-0.14746597494587943 + 0.0im

-0.10816787747828328 + 0.0im	-3.6126802233343164e-17 + 0.0im
0.0 + 0.0im	-0.10816787747828333 + 0.0im

0.046354391003696434 + 0.0im	-7.851995421047364e-19 + 0.0im
0.0 + 0.0im	0.04635439100369643 + 0.0im

-0.12671107945925578 + 0.0im	-3.6926401335551223e-17 + 0.0im
0.0 + 0.0im	-0.1267110794592558 + 0.0im

0.03919020113898605 + 0.0im	-1.4787924709639202e-17 + 0.0im
0.0 + 0.0im	-0.039190201138986004 + 0.0im

0.024890722351582687 + 0.0im	-2.21740520096967e-17 + 0.0im
0.0 + 0.0im	0.024890722351582635 + 0.0im

-0.11246017950082643 + 0.0im	1.9896803931003515e-17 + 0.0im
0.0 + 0.0im	-0.11246017950082646 + 0.0im

0.01354375849725946 + 0.0im	1.1348970943786743e-17 + 0.0im
0.0 + 0.0im	0.013543758497259513 + 0.0im

0.018300329504043658 + 0.0im	-4.976742081592642e-18 + 0.0im
0.0 + 0.0im	-0.018300329504044 + 0.0im

-0.07477498660676017 + 0.0im	2.7257520242643385e-17 + 0.0im
0.0 + 0.0im	-0.07477498660676071 + 0.0im

0.0049478480151132626 + 0.0im	1.2667377726188062e-18 + 0.0im
0.0 + 0.0im	0.0049478480151140865 + 0.0im

0.01931070756337226 + 0.0im	6.27564593038343e-17 + 0.0im
0.0 + 0.0im	-0.019310707563373018 + 0.0im

-0.031304031900782146 + 0.0im	-4.8697618203544235e-17 + 0.0im
0.0 + 0.0im	-0.031304031900782986 + 0.0im

0.0019750860429278414 + 0.0im	5.72890733875446e-18 + 0.0im
0.0 + 0.0im	0.001975086042928267 + 0.0im

-0.029068459871446725 + 0.0im	-3.733265951287807e-15 + 0.0im
0.0 + 0.0im	-0.02906845987144025 + 0.0im

0.008564131088663484 + 0.0im	-1.0842479122646562e-15 + 0.0im
0.0 + 0.0im	-0.008564131088651493 + 0.0im

0.0008382605965935387 + 0.0im	1.4186954833562276e-17 + 0.0im
0.0 + 0.0im	0.0008382605964347123 + 0.0im

-0.05992395608410879 + 0.0im	-3.409151758636264e-15 + 0.0im
0.0 + 0.0im	-0.059923956083950784 + 0.0im

0.0016140452675889423 + 0.0im	-1.0051147062003704e-16 + 0.0im
0.0 + 0.0im	-0.0016140452674116386 + 0.0im

0.0004848626665654962 + 0.0im	-2.1793945974616334e-16 + 0.0im
0.0 + 0.0im	0.0004848626604439318 + 0.0im

-0.09953634314474263 + 0.0im	-9.653573513485059e-15 + 0.0im
0.0 + 0.0im	-0.09953634313672134 + 0.0im

0.0002721094798795788 + 0.0im	1.0409357295397548e-16 + 0.0im
0.0 + 0.0im	0.0002721094737119666 + 0.0im

0.0007836607903238338 + 0.0im	-3.747964408142392e-15 + 0.0im
0.0 + 0.0im	-0.0007836606947499994 + 0.0im

-0.032457461229404856 + 0.0im	1.4793735355657367e-13 + 0.0im
0.0 + 0.0im	-0.03245746107611658 + 0.0im

8.245116212557093e-5 + 0.0im	5.096947703511052e-16 + 0.0im
0.0 + 0.0im	8.245077077309663e-5 + 0.0im

0.0026021544121375487 + 0.0im	1.104759867520856e-13 + 0.0im
0.0 + 0.0im	-0.0026021538544561498 + 0.0im
