-1.4142135623397716 + 0.0im	-0.567891746687988 + 0.303626286597823im
0.0 + 0.0im	-1.2590909586031622 + 0.0im

-0.5809134366027521 + 0.0im	0.007559420884568749 + 0.08277423396024432im
0.0 + 0.0im	-0.5579624015996476 + 0.0im

0.5473533960627917 + 0.0im	-0.02836211622766213 + 0.01845094048457547im
0.0 + 0.0im	0.5662840440445001 + 0.0im

-0.5768086295447121 + 0.0im	-0.012746093498374344 - 0.00011878820692125718im
0.0 + 0.0im	-0.5717072212251055 + 0.0im

0.4777656182047151 + 0.0im	0.07912983327021672 - 0.001461345234087641im
0.0 + 0.0im	0.43589845650230774 + 0.0im

-0.32559823313684927 + 0.0im	-0.05980228478397668 - 0.002504808487475515im
0.0 + 0.0im	-0.27969214879125903 + 0.0im

0.2189254096994568 + 0.0im	0.030058011564869057 + 0.003010270605878201im
0.0 + 0.0im	0.18713460267935556 + 0.0im

-0.15263287879005433 + 0.0im	-0.016041315071845464 - 0.001820295009244528im
0.0 + 0.0im	-0.13058768103784615 + 0.0im

0.10773238813717086 + 0.0im	0.009064028074225525 + 0.0007993669800191169im
0.0 + 0.0im	0.09199320571424664 + 0.0im

-0.07621754811460577 + 0.0im	-0.005240504595908287 - 0.0002513568097403901im
0.0 + 0.0im	-0.06491916738680772 + 0.0im

0.05394470206801631 + 0.0im	0.003067379813373031 + 2.4293968810830418e-5im
0.0 + 0.0im	0.04583919803750435 + 0.0im

-0.038179848910095814 + 0.0im	-0.0018084302794868774 + 4.6825859492750503e-5im
0.0 + 0.0im	-0.03237781700208202 + 0.0im

0.027018211951417785 + 0.0im	0.001070731958154506 - 5.602887085061466e-5im
0.0 + 0.0im	0.022875441159254554 + 0.0im

-0.019116470208105404 + 0.0im	-0.0006355474417333714 + 4.586597454244426e-5im
0.0 + 0.0im	-0.016165158108316365 + 0.0im

0.0135236895996159 + 0.0im	0.0003778014321800119 - 3.276096155853536e-5im
0.0 + 0.0im	0.011425102273746745 + 0.0im

-0.009566013418265566 + 0.0im	-0.00022478657213191854 + 2.185638347250741e-5im
0.0 + 0.0im	-0.008075955780022872 + 0.0im

0.006765917701667156 + 0.0im	0.00013381850328325685 - 1.4019908413050765e-5im
0.0 + 0.0im	0.005709109668867377 + 0.0im

-0.004785113586339983 + 0.0im	-7.969113484756495e-5 + 8.777010100239629e-6im
0.0 + 0.0im	-0.004036204061484466 + 0.0im

0.0033840396189167145 + 0.0im	4.746754142355349e-5 - 5.408902036728741e-6im
0.0 + 0.0im	0.0028536462611205415 + 0.0im

-0.0023931079529581263 + 0.0im	-2.8277597726631693e-5 + 3.298533515376986e-6im
0.0 + 0.0im	-0.002017638914355582 + 0.0im

0.001692299682104711 + 0.0im	1.6847142796292274e-5 - 1.9973279734981478e-6im
0.0 + 0.0im	0.0014265879295293077 + 0.0im

-0.0011966956778417196 + 0.0im	-1.0037711900184242e-5 + 1.2035482116072278e-6im
0.0 + 0.0im	-0.0010087003575400806 + 0.0im

0.0008462214083549879 + 0.0im	5.980801669017278e-6 - 7.227959093334151e-7im
0.0 + 0.0im	0.0007132337688104961 + 0.0im

-0.0005983839439455682 + 0.0im	-3.563648464115487e-6 + 4.330633899961347e-7im
0.0 + 0.0im	-0.0005043198181056522 + 0.0im

0.000423128879031607 + 0.0im	2.123427468988271e-6 - 2.590465029773816e-7im
0.0 + 0.0im	0.0003566015746252173 + 0.0im

-0.00029920113079517544 + 0.0im	-1.265274856188229e-6 + 1.5477738933558433e-7im
0.0 + 0.0im	-0.0002521522107869032 + 0.0im

0.00021156903360207907 + 0.0im	7.539377061786108e-7 - 9.240362923153294e-8im
0.0 + 0.0im	0.00017829690347381027 + 0.0im

-0.00014960288644380669 + 0.0im	-4.49250293204602e-7 + 5.513485247202589e-8im
0.0 + 0.0im	-0.00012607416191176207 + 0.0im

0.00010578567062540653 + 0.0im	2.6769641946103265e-7 - 3.288451333194402e-8im
0.0 + 0.0im	8.914746407915811e-5 + 0.0im

-7.48020343152794e-5 + 0.0im	-1.5951371385509313e-7 + 1.9608125738899453e-8im
0.0 + 0.0im	-6.303659418107034e-5 + 0.0im

5.2893119600196754e-5 + 0.0im	9.505036465334622e-8 - 1.1689484874409089e-8im
0.0 + 0.0im	4.45734768104227e-5 + 0.0im

-3.740117128125092e-5 + 0.0im	-5.66383441526647e-8 + 6.9677954202745004e-9im
0.0 + 0.0im	-3.151817841523206e-5 + 0.0im

2.6446624528793112e-5 + 0.0im	3.374946198984496e-8 - 4.152910189297405e-9im
0.0 + 0.0im	2.228666810613792e-5 + 0.0im

-1.8700629467544946e-5 + 0.0im	-2.0110573166696716e-8 + 2.4750337441931315e-9im
0.0 + 0.0im	-1.575906343600694e-5 + 0.0im

1.3223321592957012e-5 + 0.0im	1.1983416394825392e-8 - 1.4749839816080684e-9im
0.0 + 0.0im	1.1143310422230962e-5 + 0.0im
