0.3350673070182726 + 0.0im	0.09959711342590351 + 0.0im
0.09959711342590352 + 0.0im	-0.335067307018273 + 0.0im

0.07924082709743355 + 0.0im	0.10457807118231736 + 0.0im
0.10457807118231735 + 0.0im	-0.07924082709743356 + 0.0im

0.03507518995064256 + 0.0im	0.10334832647217726 + 0.0im
0.10334832647217727 + 0.0im	-0.03507518995064268 + 0.0im

0.014430130389084916 + 0.0im	0.07735551665201712 + 0.0im
0.07735551665201709 + 0.0im	-0.014430130389085 + 0.0im

-0.011500231578252265 + 0.0im	0.13280246051318909 + 0.0im
0.132802460513189 + 0.0im	0.011500231578252307 + 0.0im

-0.04498222525279444 + 0.0im	0.07054502940141733 + 0.0im
0.07054502940141737 + 0.0im	0.0449822252527943 + 0.0im

-0.04638147812459197 + 0.0im	-0.09688143259727175 + 0.0im
-0.09688143259727172 + 0.0im	0.04638147812459194 + 0.0im

-0.07201552749542899 + 0.0im	0.12306204009439782 + 0.0im
0.12306204009439783 + 0.0im	0.07201552749542889 + 0.0im

-0.00790201414317488 + 0.0im	0.05277019221378629 + 0.0im
0.0527701922137863 + 0.0im	0.007902014143174901 + 0.0im

-0.025520662778551674 + 0.0im	-0.1147699817015625 + 0.0im
-0.11476998170156252 + 0.0im	0.0255206627785516 + 0.0im

-0.014975874166078956 + 0.0im	-0.0689467866189891 + 0.0im
-0.06894678661898912 + 0.0im	0.014975874166078998 + 0.0im

0.007921618215343637 + 0.0im	0.02589634701959058 + 0.0im
0.02589634701959058 + 0.0im	-0.007921618215343665 + 0.0im

-0.028260438598196727 + 0.0im	0.12245702192249938 + 0.0im
0.12245702192249935 + 0.0im	0.02826043859819668 + 0.0im

-0.018361383598932593 + 0.0im	-0.040806142790131714 + 0.0im
-0.0408061427901317 + 0.0im	0.018361383598932725 + 0.0im

0.005082242542762301 + 0.0im	0.05844280448395675 + 0.0im
0.05844280448395676 + 0.0im	-0.0050822425427623965 + 0.0im

-0.10222701493488873 + 0.0im	0.045249514121429676 + 0.0im
0.04524951412142966 + 0.0im	0.10222701493488877 + 0.0im

0.0738055073539929 + 0.0im	0.03689809742522186 + 0.0im
0.03689809742522186 + 0.0im	-0.07380550735399308 + 0.0im

-0.08468373614639603 + 0.0im	-0.03722487730100195 + 0.0im
-0.03722487730100195 + 0.0im	0.08468373614639599 + 0.0im

-0.084556669057766 + 0.0im	0.05953691914578812 + 0.0im
0.05953691914578812 + 0.0im	0.08455666905776577 + 0.0im

0.0768391063622159 + 0.0im	0.056554372489661456 + 0.0im
0.056554372489661456 + 0.0im	-0.07683910636221597 + 0.0im

-0.08180760215783055 + 0.0im	-0.06028380562830189 + 0.0im
-0.06028380562830192 + 0.0im	0.08180760215783078 + 0.0im

-0.020510768422209266 + 0.0im	-0.09186349743465189 + 0.0im
-0.0918634974346519 + 0.0im	0.02051076842220543 + 0.0im

0.019077360179686177 + 0.0im	0.08957650131511183 + 0.0im
0.08957650131511183 + 0.0im	-0.019077360179682624 + 0.0im

-0.02406643589090745 + 0.0im	0.09858362091463707 + 0.0im
0.09858362091463707 + 0.0im	0.024066435890906873 + 0.0im

0.009627534126526581 + 0.0im	0.04429740609199434 + 0.0im
0.04429740609199435 + 0.0im	-0.009627534126611145 + 0.0im

-0.009725925520385148 + 0.0im	-0.04328160660099356 + 0.0im
-0.04328160660099355 + 0.0im	0.009725925520470136 + 0.0im

0.004290603889917706 + 0.0im	0.10054906856614657 + 0.0im
0.10054906856614661 + 0.0im	-0.0042906038899195795 + 0.0im

-0.004799232492883949 + 0.0im	0.07877759940665055 + 0.0im
0.07877759940665052 + 0.0im	0.004799232492670287 + 0.0im

0.004790252423152418 + 0.0im	-0.07918818752956666 + 0.0im
-0.07918818752956669 + 0.0im	-0.004790252422937378 + 0.0im

-0.008672351430709303 + 0.0im	-0.09985971599515864 + 0.0im
-0.09985971599515864 + 0.0im	0.008672351430853771 + 0.0im

0.008509267203734322 + 0.0im	-0.09916425460825272 + 0.0im
-0.09916425460825279 + 0.0im	-0.008509267202877806 + 0.0im

-0.008566955000025293 + 0.0im	0.09934608214181259 + 0.0im
0.09934608214181256 + 0.0im	0.008566954999081548 + 0.0im

-0.05686152385360882 + 0.0im	0.08186413972606521 + 0.0im
0.08186413972606524 + 0.0im	0.056861523850791816 + 0.0im

0.056821730911307364 + 0.0im	-0.08176164510232149 + 0.0im
-0.08176164510232146 + 0.0im	-0.056821730909089166 + 0.0im

-0.05703249854441263 + 0.0im	-0.0822164485328376 + 0.0im
-0.0822164485328376 + 0.0im	0.05703249854301229 + 0.0im
