0.3175108839672404 + 0.0im	-1.5143466789249195e-17 - 0.0im
0.0 + 0.0im	-0.3175108839672405 + 0.0im

-0.48533148099129586 + 0.0im	2.2504606617362692e-18 + 0.0im
0.0 + 0.0im	0.4853314809912957 + 0.0im

0.5278222841925087 + 0.0im	-5.761306348986937e-18 + 0.0im
0.0 + 0.0im	-0.5278222841925087 + 0.0im

-0.48404982222370346 + 0.0im	-4.2280178957790435e-19 + 0.0im
0.0 + 0.0im	0.4840498222237033 + 0.0im

0.3564874161766645 + 0.0im	-5.4965450254989244e-17 + 0.0im
0.0 + 0.0im	-0.35648741617666474 + 0.0im

-0.23380715575860642 + 0.0im	2.3570544641923026e-17 + 0.0im
0.0 + 0.0im	0.23380715575860625 + 0.0im

-0.19238921450272775 + 0.0im	6.484248969468483e-18 + 0.0im
0.0 + 0.0im	-0.19238921450272783 + 0.0im

0.12358048710465093 + 0.0im	1.849687022742897e-17 + 0.0im
0.0 + 0.0im	0.12358048710465089 + 0.0im

0.10300909041128685 + 0.0im	-4.1203282444475e-17 + 0.0im
0.0 + 0.0im	-0.10300909041128684 + 0.0im

-0.11255125209630504 + 0.0im	-7.807102674842886e-18 + 0.0im
0.0 + 0.0im	-0.11255125209630511 + 0.0im

0.03666360066803213 + 0.0im	-1.9268305484140824e-17 + 0.0im
0.0 + 0.0im	0.036663600668032086 + 0.0im

-0.11938216088409774 + 0.0im	5.0191360806027194e-17 + 0.0im
0.0 + 0.0im	-0.11938216088409769 + 0.0im

0.03198172954363784 + 0.0im	1.394364461946348e-17 + 0.0im
0.0 + 0.0im	-0.031981729543637816 + 0.0im

0.02460185725472009 + 0.0im	3.17471125004464e-17 + 0.0im
0.0 + 0.0im	0.024601857254720003 + 0.0im

-0.09647412299578997 + 0.0im	-1.2298071361185187e-16 + 0.0im
0.0 + 0.0im	-0.09647412299578993 + 0.0im

0.011095177271692793 + 0.0im	8.106539409609122e-17 + 0.0im
0.0 + 0.0im	0.011095177271692713 + 0.0im

0.021650777922126937 + 0.0im	-3.5529538126410475e-17 + 0.0im
0.0 + 0.0im	-0.021650777922126822 + 0.0im

-0.05265577091526586 + 0.0im	5.1076933752381565e-17 + 0.0im
0.0 + 0.0im	-0.05265577091526604 + 0.0im

0.004350043877250257 + 0.0im	3.2009576247064983e-16 + 0.0im
0.0 + 0.0im	0.004350043877250204 + 0.0im

-0.025267507450323416 + 0.0im	-1.200281685159602e-16 + 0.0im
0.0 + 0.0im	-0.02526750745032197 + 0.0im

0.019331165972171632 + 0.0im	2.1352120883834282e-15 + 0.0im
0.0 + 0.0im	-0.019331165972171802 + 0.0im

0.0017131457630654495 + 0.0im	-5.0115442301755975e-15 + 0.0im
0.0 + 0.0im	0.0017131457630579273 + 0.0im

-0.04525147133051301 + 0.0im	6.098688042207798e-16 + 0.0im
0.0 + 0.0im	-0.045251471330505846 + 0.0im

0.0043451685455361275 + 0.0im	-4.646986649512385e-15 + 0.0im
0.0 + 0.0im	-0.004345168545528886 + 0.0im

0.000802636024535687 + 0.0im	1.1501599610497508e-14 + 0.0im
0.0 + 0.0im	0.0008026360244171342 + 0.0im

-0.0948868559935325 + 0.0im	2.472881518696471e-14 + 0.0im
0.0 + 0.0im	-0.09488685599342486 + 0.0im

0.0006975325520051943 + 0.0im	7.328117613390078e-15 + 0.0im
0.0 + 0.0im	0.0006975325519325654 + 0.0im

0.0009237651711510743 + 0.0im	1.1375826017500322e-14 + 0.0im
0.0 + 0.0im	-0.0009237651706208183 + 0.0im

-0.053945074735698845 + 0.0im	5.2251849765386216e-14 + 0.0im
0.0 + 0.0im	-0.05394507473490346 + 0.0im

0.000171234896256271 + 0.0im	-2.257147182173542e-14 + 0.0im
0.0 + 0.0im	0.00017123489520564115 + 0.0im

0.002606155977294079 + 0.0im	7.006377247513874e-13 + 0.0im
0.0 + 0.0im	-0.0026061559792589957 + 0.0im

-0.00795635202839352 + 0.0im	1.0588896431776643e-13 + 0.0im
0.0 + 0.0im	-0.007956352031777685 + 0.0im

6.78920552337307e-5 + 0.0im	-1.3048414689758614e-11 + 0.0im
0.0 + 0.0im	6.789209141301746e-5 + 0.0im

-0.011324063088677306 + 0.0im	3.21104195504654e-11 + 0.0im
0.0 + 0.0im	-0.011324063110662783 + 0.0im

0.0007284697790170506 + 0.0im	-2.0181351845036534e-11 + 0.0im
0.0 + 0.0im	-0.0007284698346753532 + 0.0im
