0.3175108839691065 + 0.0im	1.2462289873834114e-17 - 0.0im
0.0 + 0.0im	-0.3175108839691064 + 0.0im

-0.4479989208286938 + 0.0im	1.7761804447889848e-17 + 0.0im
0.0 + 0.0im	0.447998920828694 + 0.0im

0.39882206561347544 + 0.0im	4.3634161123976434e-17 + 0.0im
0.0 + 0.0im	-0.39882206561347566 + 0.0im

-0.30525846597290773 + 0.0im	2.0790145757670984e-17 + 0.0im
0.0 + 0.0im	0.30525846597290746 + 0.0im

-0.23909223614489408 + 0.0im	-5.944900740304307e-18 + 0.0im
0.0 + 0.0im	-0.23909223614489414 + 0.0im

0.1596566644043639 + 0.0im	-2.4462629154059414e-17 + 0.0im
0.0 + 0.0im	0.1596566644043639 + 0.0im

0.1483294876622542 + 0.0im	1.1138695014630863e-17 + 0.0im
0.0 + 0.0im	-0.14832948766225415 + 0.0im

-0.10819614329893038 + 0.0im	-2.475580843292781e-17 + 0.0im
0.0 + 0.0im	0.10819614329893038 + 0.0im

0.06112804676510705 + 0.0im	4.1980223415344006e-17 + 0.0im
0.0 + 0.0im	-0.06112804676510705 + 0.0im

-0.1289753131874019 + 0.0im	-3.703863320106242e-17 + 0.0im
0.0 + 0.0im	-0.12897531318740194 + 0.0im

0.028692005508477666 + 0.0im	-1.1890224997082241e-17 + 0.0im
0.0 + 0.0im	0.02869200550847763 + 0.0im

0.06519502401304801 + 0.0im	9.76390760167793e-18 + 0.0im
0.0 + 0.0im	-0.06519502401304797 + 0.0im

-0.05227894885894297 + 0.0im	-1.8603808137019825e-17 + 0.0im
0.0 + 0.0im	-0.05227894885894292 + 0.0im

0.012832980986373936 + 0.0im	1.1890277936641444e-16 + 0.0im
0.0 + 0.0im	0.012832980986373796 + 0.0im

-0.07658419609435756 + 0.0im	-1.734689594658917e-16 + 0.0im
0.0 + 0.0im	-0.07658419609435749 + 0.0im

0.01789252593418462 + 0.0im	1.7256686937706586e-16 + 0.0im
0.0 + 0.0im	-0.017892525934184472 + 0.0im

0.00657668040769383 + 0.0im	-8.668545240716758e-16 + 0.0im
0.0 + 0.0im	0.006576680407693954 + 0.0im

-0.09093626113438978 + 0.0im	4.591350560921408e-16 + 0.0im
0.0 + 0.0im	-0.09093626113439009 + 0.0im

0.005391972074025779 + 0.0im	-7.324283306996094e-16 + 0.0im
0.0 + 0.0im	0.005391972074025933 + 0.0im

0.004392385515691364 + 0.0im	-1.1859614285159655e-15 + 0.0im
0.0 + 0.0im	-0.004392385515692989 + 0.0im

-0.08006683748649641 + 0.0im	-1.1558984292728974e-15 + 0.0im
0.0 + 0.0im	-0.08006683748649888 + 0.0im

0.001508121826675114 + 0.0im	5.496972777137288e-16 + 0.0im
0.0 + 0.0im	0.0015081218266760094 + 0.0im

0.005793955289566955 + 0.0im	-1.6132859505157342e-15 + 0.0im
0.0 + 0.0im	-0.005793955289548663 + 0.0im

-0.02781952445583875 + 0.0im	-1.7320268618859283e-14 + 0.0im
0.0 + 0.0im	-0.027819524455809472 + 0.0im

0.0005261463300371145 + 0.0im	1.086985258052386e-14 + 0.0im
0.0 + 0.0im	0.0005261463299099272 + 0.0im

-0.013730870925656015 + 0.0im	-9.862207575151805e-15 + 0.0im
0.0 + 0.0im	-0.013730870925445181 + 0.0im

0.004774229387249098 + 0.0im	2.5177395365501114e-14 + 0.0im
0.0 + 0.0im	-0.004774229386917574 + 0.0im

0.00021503969801725057 + 0.0im	-1.6090092949293326e-13 + 0.0im
0.0 + 0.0im	0.0002150396920973315 + 0.0im

-0.04825838302586455 + 0.0im	2.9408682046126906e-13 + 0.0im
0.0 + 0.0im	-0.0482583830224589 + 0.0im

0.000527902083994813 + 0.0im	-8.405598770021532e-14 + 0.0im
0.0 + 0.0im	-0.0005279020811591742 + 0.0im

0.0001524405083530243 + 0.0im	6.887716999832401e-11 + 0.0im
0.0 + 0.0im	0.0001524403296184675 + 0.0im

-0.0899414242084247 + 0.0im	-5.853265230360352e-11 + 0.0im
0.0 + 0.0im	-0.08994142396747239 + 0.0im

6.576508124839922e-5 + 0.0im	8.310967036658382e-11 + 0.0im
0.0 + 0.0im	6.576486601162987e-5 + 0.0im

0.0004419700597875485 + 0.0im	5.441017736240857e-9 + 0.0im
0.0 + 0.0im	-0.0004419669146445622 + 0.0im

-0.014903964938163356 + 0.0im	3.6283373517059098e-9 + 0.0im
0.0 + 0.0im	-0.01490395574180275 + 0.0im
