-1.1102230246251565e-16 + 0.0im	0.09091763188763427 + 0.0im
0.09091763188763426 + 0.0im	-2.220446049250313e-16 + 0.0im

-6.938893903907228e-17 + 0.0im	-0.1407407956817803 + 0.0im
-0.14074079568178033 + 0.0im	2.7755575615628914e-17 + 0.0im

2.7755575615628914e-17 + 0.0im	0.041776886387871984 + 0.0im
0.04177688638787198 + 0.0im	6.938893903907228e-17 + 0.0im

-1.0408340855860843e-16 + 0.0im	-0.01866933266824905 + 0.0im
-0.018669332668249043 + 0.0im	-3.469446951953614e-17 + 0.0im

1.1796119636642288e-16 + 0.0im	0.33666242572971894 + 0.0im
0.336662425729719 + 0.0im	1.457167719820518e-16 + 0.0im

7.632783294297951e-17 + 0.0im	0.3765513290078827 + 0.0im
0.37655132900788274 + 0.0im	-7.632783294297951e-17 + 0.0im

-8.326672684688674e-17 + 0.0im	-0.18731800966591536 + 0.0im
-0.18731800966591539 + 0.0im	-9.71445146547012e-17 + 0.0im

-5.551115123125783e-17 + 0.0im	-0.1514896731827151 + 0.0im
-0.1514896731827151 + 0.0im	1.734723475976807e-17 + 0.0im

-4.163336342344337e-17 + 0.0im	-0.16483344219417045 + 0.0im
-0.16483344219417045 + 0.0im	-1.1102230246251565e-16 + 0.0im

4.163336342344337e-17 + 0.0im	-0.017222480254022156 + 0.0im
-0.01722248025402215 + 0.0im	4.85722573273506e-17 + 0.0im

5.551115123125783e-17 + 0.0im	0.15430186336014481 + 0.0im
0.1543018633601448 + 0.0im	5.551115123125783e-17 + 0.0im

1.5265566588595902e-16 + 0.0im	0.06694411343645798 + 0.0im
0.066944113436458 + 0.0im	-1.942890293094024e-16 + 0.0im

-8.933825901280557e-17 + 0.0im	-0.006459273908230165 + 0.0im
-0.006459273908230161 + 0.0im	7.546047120499111e-17 + 0.0im

5.689893001203927e-16 + 0.0im	-0.13352207411872408 + 0.0im
-0.13352207411872408 + 0.0im	-5.967448757360216e-16 + 0.0im

1.1310397063368782e-15 + 0.0im	0.01353166484492682 + 0.0im
0.013531664844926818 + 0.0im	-1.2836953722228372e-15 + 0.0im

-5.733261088103347e-16 + 0.0im	-0.04042626605477552 + 0.0im
-0.040426266054775506 + 0.0im	7.025630077706069e-16 + 0.0im

5.329070518200751e-15 + 0.0im	-0.11548686275336141 + 0.0im
-0.11548686275336145 + 0.0im	-5.329070518200751e-15 + 0.0im

3.608224830031759e-16 + 0.0im	-0.07232921231866768 + 0.0im
-0.07232921231866771 + 0.0im	-1.457167719820518e-16 + 0.0im

2.1510571102112408e-15 + 0.0im	0.0850376238603393 + 0.0im
0.0850376238603393 + 0.0im	-2.338407245616736e-15 + 0.0im

4.4499126605757056e-14 + 0.0im	0.10530324051847911 + 0.0im
0.10530324051847911 + 0.0im	-4.4554637756988313e-14 + 0.0im

-3.733124920302089e-14 + 0.0im	0.093909385346756 + 0.0im
0.093909385346756 + 0.0im	3.737982146034824e-14 + 0.0im

4.2896242113954486e-14 + 0.0im	-0.1009166894206705 + 0.0im
-0.1009166894206705 + 0.0im	-4.290318100785839e-14 + 0.0im

-2.8005375796169574e-14 + 0.0im	-0.09767392057226959 + 0.0im
-0.09767392057226959 + 0.0im	2.7179647421604614e-14 + 0.0im

-1.3329615189405786e-14 + 0.0im	0.09425737756493846 + 0.0im
0.09425737756493846 + 0.0im	1.4051260155412137e-14 + 0.0im

-2.48995268847807e-13 + 0.0im	0.10174668394987768 + 0.0im
0.10174668394987768 + 0.0im	2.489883299539031e-13 + 0.0im

-2.574031959801104e-11 + 0.0im	0.07557163807506423 + 0.0im
0.07557163807506423 + 0.0im	2.572791979460476e-11 + 0.0im

2.550649969013108e-11 + 0.0im	-0.07427450700365475 + 0.0im
-0.07427450700365473 + 0.0im	-2.5494082539490037e-11 + 0.0im

-3.118060670770362e-11 + 0.0im	-0.10081419549641818 + 0.0im
-0.10081419549641818 + 0.0im	3.1180578952128e-11 + 0.0im

-1.3235398887978533e-11 + 0.0im	0.027394607068500214 + 0.0im
0.027394607068500214 + 0.0im	1.3467768567032579e-11 + 0.0im

1.3306857785805315e-11 + 0.0im	-0.027916006879659082 + 0.0im
-0.027916006879659082 + 0.0im	-1.3539222260688932e-11 + 0.0im

2.940779147975192e-10 + 0.0im	-0.10032630565763603 + 0.0im
-0.10032630565763606 + 0.0im	-2.94077928675307e-10 + 0.0im

4.960859729952194e-9 + 0.0im	-0.09617070679915328 + 0.0im
-0.0961707067991533 + 0.0im	-4.960865017389349e-9 + 0.0im

-4.665482708499091e-9 + 0.0im	0.09638347944965081 + 0.0im
0.09638347944965081 + 0.0im	4.6654880375696095e-9 + 0.0im

3.102377462912975e-7 + 0.0im	0.10008094977990405 + 0.0im
0.10008094977990405 + 0.0im	-3.102377396230205e-7 + 0.0im

-2.9486573883963363e-7 + 0.0im	0.09989605372257712 + 0.0im
0.09989605372257715 + 0.0im	2.948657422952028e-7 + 0.0im
