1.3877787807814457e-17 + 0.0im	0.10497580690769434 + 0.0im
0.1049758069076943 + 0.0im	-5.551115123125783e-17 + 0.0im

-1.3877787807814457e-17 + 0.0im	0.09782313339898421 + 0.0im
0.09782313339898428 + 0.0im	-2.7755575615628914e-17 + 0.0im

-1.3877787807814457e-17 + 0.0im	0.045233587623961936 + 0.0im
0.04523358762396193 + 0.0im	-1.3877787807814457e-17 + 0.0im

-2.7755575615628914e-17 + 0.0im	-0.20847146109266168 + 0.0im
-0.20847146109266163 + 0.0im	-5.551115123125783e-17 + 0.0im

-4.163336342344337e-17 + 0.0im	-0.0439581501262011 + 0.0im
-0.04395815012620107 + 0.0im	-6.938893903907228e-17 + 0.0im

-6.938893903907228e-17 + 0.0im	-0.1614083914251771 + 0.0im
-0.1614083914251771 + 0.0im	-7.632783294297951e-17 + 0.0im

9.71445146547012e-17 + 0.0im	-0.13457471525550957 + 0.0im
-0.13457471525550954 + 0.0im	-6.938893903907228e-17 + 0.0im

-5.898059818321144e-17 + 0.0im	-0.0138236442554909 + 0.0im
-0.013823644255490911 + 0.0im	-4.85722573273506e-17 + 0.0im

0.0 + 0.0im	0.17141659707100046 + 0.0im
0.1714165970710005 + 0.0im	-1.6653345369377348e-16 + 0.0im

8.326672684688674e-17 + 0.0im	0.010884229454036994 + 0.0im
0.01088422945403699 + 0.0im	-4.163336342344337e-17 + 0.0im

-1.5612511283791264e-17 + 0.0im	0.05851746843156399 + 0.0im
0.058517468431563996 + 0.0im	-2.0816681711721685e-17 + 0.0im

4.718447854656915e-16 + 0.0im	0.13466605977345436 + 0.0im
0.13466605977345436 + 0.0im	-3.608224830031759e-16 + 0.0im

3.469446951953614e-17 + 0.0im	0.06108371209028845 + 0.0im
0.061083712090288456 + 0.0im	6.938893903907228e-18 + 0.0im

3.3306690738754696e-16 + 0.0im	-0.09678125590487677 + 0.0im
-0.09678125590487678 + 0.0im	-2.983724378680108e-16 + 0.0im

2.4980018054066022e-15 + 0.0im	-0.10950867891007765 + 0.0im
-0.10950867891007765 + 0.0im	-2.55351295663786e-15 + 0.0im

-2.3869795029440866e-15 + 0.0im	-0.08455284880289657 + 0.0im
-0.08455284880289661 + 0.0im	2.3939183968479938e-15 + 0.0im

2.518818487118324e-15 + 0.0im	0.10722372585325296 + 0.0im
0.10722372585325297 + 0.0im	-2.435551760271437e-15 + 0.0im

-6.661338147750939e-16 + 0.0im	0.08966154979668534 + 0.0im
0.08966154979668536 + 0.0im	9.71445146547012e-16 + 0.0im

1.304512053934559e-15 + 0.0im	-0.08062814762930118 + 0.0im
-0.08062814762930119 + 0.0im	-1.4779844015322396e-15 + 0.0im

3.191891195797325e-16 + 0.0im	-0.10501556792868899 + 0.0im
-0.105015567928689 + 0.0im	-3.608224830031759e-16 + 0.0im

1.4278161986069904e-13 + 0.0im	-0.05036088922185641 + 0.0im
-0.05036088922185641 + 0.0im	-1.508168590014236e-13 + 0.0im

-1.374959174293977e-13 + 0.0im	0.04673834524443905 + 0.0im
0.04673834524443904 + 0.0im	1.4557799410397365e-13 + 0.0im

4.554343013829509e-13 + 0.0im	0.1022921188584052 + 0.0im
0.1022921188584052 + 0.0im	-4.554343013829509e-13 + 0.0im

8.864603495695178e-12 + 0.0im	-0.043118486782495746 + 0.0im
-0.043118486782495746 + 0.0im	-8.866664347184638e-12 + 0.0im

-8.598038947482678e-12 + 0.0im	0.044608712488977395 + 0.0im
0.04460871248897738 + 0.0im	8.600078982290427e-12 + 0.0im

4.2669916211490744e-11 + 0.0im	0.1009201481310584 + 0.0im
0.1009201481310584 + 0.0im	-4.266995784485417e-11 + 0.0im

1.7899126625309236e-11 + 0.0im	0.09521485691330225 + 0.0im
0.09521485691330224 + 0.0im	-1.7902158921945244e-11 + 0.0im

-1.0108781867135264e-11 + 0.0im	-0.09584295774709363 + 0.0im
-0.09584295774709364 + 0.0im	1.0111862736028598e-11 + 0.0im

2.7922393910917442e-9 + 0.0im	-0.10020011510802289 + 0.0im
-0.1002001151080229 + 0.0im	-2.7922385584244758e-9 + 0.0im

-2.6779528178311196e-9 + 0.0im	-0.09969437129638828 + 0.0im
-0.09969437129638825 + 0.0im	2.6779525402753634e-9 + 0.0im

2.894370777772881e-9 + 0.0im	0.10011630343333235 + 0.0im
0.10011630343333232 + 0.0im	-2.894371367578863e-9 + 0.0im

1.862321301615566e-7 + 0.0im	0.09737561214008798 + 0.0im
0.09737561214008797 + 0.0im	-1.8623213408897055e-7 + 0.0im

-1.8589394418233596e-7 + 0.0im	-0.09722219605058974 + 0.0im
-0.09722219605058977 + 0.0im	1.8589394832485562e-7 + 0.0im

2.0346234315404832e-7 + 0.0im	-0.10009486036688761 + 0.0im
-0.10009486036688761 + 0.0im	-2.0346234120421913e-7 + 0.0im

2.294675865661261e-5 + 0.0im	-0.028260580945882185 + 0.0im
-0.028260580945882185 + 0.0im	-2.2946652132302403e-5 + 0.0im
