0.3175108839690866 + 0.0im	-2.08465396231124e-18 - 0.0im
0.0 + 0.0im	-0.3175108839690866 + 0.0im

-0.5531025243395669 + 0.0im	1.236191646958448e-18 + 0.0im
0.0 + 0.0im	-0.5531025243395669 + 0.0im

0.42861447758518134 + 0.0im	7.454673441314053e-17 + 0.0im
0.0 + 0.0im	0.4286144775851811 + 0.0im

-0.35820775047368514 + 0.0im	3.606634525673289e-17 + 0.0im
0.0 + 0.0im	-0.3582077504736851 + 0.0im

0.23315497562430484 + 0.0im	-6.720147645278805e-18 + 0.0im
0.0 + 0.0im	0.23315497562430493 + 0.0im

-0.2555906650976594 + 0.0im	-4.00021897252684e-18 + 0.0im
0.0 + 0.0im	-0.2555906650976594 + 0.0im

0.11788448892168185 + 0.0im	-2.0134396672708346e-17 + 0.0im
0.0 + 0.0im	0.11788448892168187 + 0.0im

0.15630085429926716 + 0.0im	3.2485089955741706e-17 + 0.0im
0.0 + 0.0im	-0.1563008542992671 + 0.0im

-0.10515888892669577 + 0.0im	2.6092426423695095e-17 + 0.0im
0.0 + 0.0im	-0.1051588889266958 + 0.0im

0.05007244754816455 + 0.0im	-4.0439470484288434e-18 + 0.0im
0.0 + 0.0im	0.0500724475481645 + 0.0im

-0.13304599182530202 + 0.0im	8.764249905240246e-18 + 0.0im
0.0 + 0.0im	-0.13304599182530197 + 0.0im

0.03711443733820608 + 0.0im	5.728060305807206e-18 + 0.0im
0.0 + 0.0im	0.03711443733820605 + 0.0im

0.02926973693860019 + 0.0im	1.4818841412213984e-17 + 0.0im
0.0 + 0.0im	-0.029269736938600216 + 0.0im

-0.10703224412268536 + 0.0im	-4.835033469516997e-17 + 0.0im
0.0 + 0.0im	-0.10703224412268544 + 0.0im

0.0130937125203392 + 0.0im	-8.372920683608759e-19 + 0.0im
0.0 + 0.0im	0.01309371252033933 + 0.0im

0.023747959781645775 + 0.0im	5.1659692420092523e-17 + 0.0im
0.0 + 0.0im	-0.02374795978164599 + 0.0im

-0.06171991117774685 + 0.0im	-7.271100225820365e-17 + 0.0im
0.0 + 0.0im	-0.061719911177747076 + 0.0im

0.005016399891729 + 0.0im	4.247870230480316e-19 + 0.0im
0.0 + 0.0im	0.005016399891729079 + 0.0im

0.026934977426024274 + 0.0im	7.848884163152981e-16 + 0.0im
0.0 + 0.0im	-0.026934977426023625 + 0.0im

-0.02342483043958642 + 0.0im	-6.438534601305168e-16 + 0.0im
0.0 + 0.0im	-0.023424830439585403 + 0.0im

0.0020720755161056166 + 0.0im	8.443859692941307e-18 + 0.0im
0.0 + 0.0im	0.0020720755161022235 + 0.0im

-0.042076272174295076 + 0.0im	-4.3983896792733e-15 + 0.0im
0.0 + 0.0im	-0.04207627217429497 + 0.0im

0.006098315591305386 + 0.0im	-6.576855081591795e-16 + 0.0im
0.0 + 0.0im	-0.006098315591306919 + 0.0im

0.0009326851910400132 + 0.0im	-6.761673435517947e-17 + 0.0im
0.0 + 0.0im	0.0009326851910748178 + 0.0im

-0.08177158436121514 + 0.0im	1.7287142854358062e-14 + 0.0im
0.0 + 0.0im	-0.0817715843612492 + 0.0im

0.0011566369139987891 + 0.0im	3.336339959457337e-16 + 0.0im
0.0 + 0.0im	-0.001156636914026102 + 0.0im

0.0007008180224583199 + 0.0im	-7.362808483019588e-16 + 0.0im
0.0 + 0.0im	0.0007008180230180067 + 0.0im

-0.08432033787627238 + 0.0im	-6.167397322009993e-14 + 0.0im
0.0 + 0.0im	-0.08432033787706757 + 0.0im

0.0002421246190132281 + 0.0im	8.014519867801783e-17 + 0.0im
0.0 + 0.0im	0.00024212461970838061 + 0.0im

0.001375799721260922 + 0.0im	4.316077664437087e-15 + 0.0im
0.0 + 0.0im	-0.0013757997230227467 + 0.0im

-0.0194742144744544 + 0.0im	-6.073880818874972e-14 + 0.0im
0.0 + 0.0im	-0.01947421447735215 + 0.0im

8.534158084217843e-5 + 0.0im	2.208183129756439e-17 + 0.0im
0.0 + 0.0im	8.534159405586583e-5 + 0.0im

-0.0048060768590035925 + 0.0im	-1.7261417457898324e-14 + 0.0im
0.0 + 0.0im	-0.004806076883144701 + 0.0im

0.0022303180925457265 + 0.0im	-3.3406843914438045e-15 + 0.0im
0.0 + 0.0im	-0.0022303181319500804 + 0.0im

3.410702470598917e-5 + 0.0im	-7.13065012576863e-13 + 0.0im
0.0 + 0.0im	3.410857708794584e-5 + 0.0im
