0.3175108839658782 + 0.0im	5.619534209440249e-18 - 0.0im
0.0 + 0.0im	-0.31751088396587834 + 0.0im

-0.5659470490132612 + 0.0im	1.4681410316521974e-17 + 0.0im
0.0 + 0.0im	-0.5659470490132608 + 0.0im

0.5263979563949923 + 0.0im	-7.672212677992639e-18 + 0.0im
0.0 + 0.0im	0.5263979563949923 + 0.0im

-0.5761184548610184 + 0.0im	-2.576864807960714e-17 + 0.0im
0.0 + 0.0im	0.5761184548610185 + 0.0im

0.5379084031651811 + 0.0im	-2.1124154671574996e-17 + 0.0im
0.0 + 0.0im	-0.5379084031651812 + 0.0im

-0.3947066656545768 + 0.0im	-2.723825024309335e-17 + 0.0im
0.0 + 0.0im	-0.3947066656545767 + 0.0im

0.2213507361905908 + 0.0im	-8.496375735671073e-18 + 0.0im
0.0 + 0.0im	0.22135073619059095 + 0.0im

-0.24385357780804778 + 0.0im	2.6529707182715127e-17 + 0.0im
0.0 + 0.0im	-0.24385357780804762 + 0.0im

0.10828923650024969 + 0.0im	-5.601428880192688e-18 + 0.0im
0.0 + 0.0im	0.10828923650024971 + 0.0im

0.12467938955257787 + 0.0im	4.765852053550002e-17 + 0.0im
0.0 + 0.0im	-0.12467938955257787 + 0.0im

-0.11510475271744947 + 0.0im	-2.027373359253168e-17 + 0.0im
0.0 + 0.0im	-0.11510475271744948 + 0.0im

0.04078957658457048 + 0.0im	1.4478334167417756e-17 + 0.0im
0.0 + 0.0im	0.04078957658457049 + 0.0im

-0.10963446887148583 + 0.0im	-4.668527967910483e-17 + 0.0im
0.0 + 0.0im	-0.10963446887148584 + 0.0im

0.04459091911053557 + 0.0im	-5.566615826060536e-17 + 0.0im
0.0 + 0.0im	-0.044590919110535615 + 0.0im

0.019525104637863375 + 0.0im	-6.765675666193724e-18 + 0.0im
0.0 + 0.0im	0.019525104637863593 + 0.0im

-0.11124631772336471 + 0.0im	1.591913721069732e-17 + 0.0im
0.0 + 0.0im	-0.11124631772336499 + 0.0im

0.015193223787812727 + 0.0im	9.668881092907838e-19 + 0.0im
0.0 + 0.0im	0.015193223787812979 + 0.0im

0.012062782851774315 + 0.0im	3.725081495434962e-17 + 0.0im
0.0 + 0.0im	-0.012062782851775098 + 0.0im

-0.09624683749293238 + 0.0im	-2.283295893936582e-16 + 0.0im
0.0 + 0.0im	-0.09624683749293347 + 0.0im

0.005075181501285655 + 0.0im	7.441184441629028e-19 + 0.0im
0.0 + 0.0im	0.005075181501286917 + 0.0im

0.010909231611566013 + 0.0im	-4.378074017549879e-16 + 0.0im
0.0 + 0.0im	-0.010909231611569429 + 0.0im

-0.05068686756268953 + 0.0im	1.8200603513467833e-15 + 0.0im
0.0 + 0.0im	-0.05068686756269516 + 0.0im

0.001869391879466003 + 0.0im	-6.409921828346918e-18 + 0.0im
0.0 + 0.0im	0.001869391879477544 + 0.0im

0.015021002987266411 + 0.0im	7.515314647590357e-16 + 0.0im
0.0 + 0.0im	-0.015021002987283039 + 0.0im

-0.015529981673027524 + 0.0im	-8.059755662349899e-16 + 0.0im
0.0 + 0.0im	-0.015529981673053209 + 0.0im

0.000752311480477537 + 0.0im	1.2769021679858578e-19 + 0.0im
0.0 + 0.0im	0.0007523114806223626 + 0.0im

-0.030536256233704664 + 0.0im	1.7740706974756111e-15 + 0.0im
0.0 + 0.0im	-0.030536256233762247 + 0.0im

0.0030687711060821436 + 0.0im	1.9894262832161752e-16 + 0.0im
0.0 + 0.0im	-0.0030687711061240393 + 0.0im

0.0003339745621279984 + 0.0im	9.929682537367437e-17 + 0.0im
0.0 + 0.0im	0.00033397456211328334 + 0.0im

-0.07953076634076088 + 0.0im	-7.290839481623179e-14 + 0.0im
0.0 + 0.0im	-0.07953076634003178 + 0.0im

0.0004285360097839987 + 0.0im	-5.219832067125153e-16 + 0.0im
0.0 + 0.0im	0.0004285360083952169 + 0.0im

0.00031630903185640247 + 0.0im	1.3411593579139899e-15 + 0.0im
0.0 + 0.0im	-0.00031630890916987703 + 0.0im

-0.07021022217503087 + 0.0im	-2.177174456344244e-13 + 0.0im
0.0 + 0.0im	-0.07021022198355391 + 0.0im

8.178142762526816e-5 + 0.0im	-3.1318757351108057e-16 + 0.0im
0.0 + 0.0im	8.178119355847286e-5 + 0.0im

0.0009196423523062093 + 0.0im	-9.55549352611429e-13 + 0.0im
0.0 + 0.0im	-0.0009196399035892248 + 0.0im
